Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 2 – January 29,Monthly,0.3,0.0 - 0.7,1107,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,October 31 – November 27,Monthly,0.6,0.0 - 1.4,383,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,November 28 – December 31,Monthly,0.9,0.0 - 1.8,888,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,September 26 – October 30,Monthly,1,0.2 - 1.8,1034,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 29 – September 25,Monthly,1.5,0.7 - 3.0,1050,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,June 27 – July 31,Monthly,3.5,1.7 - 7.4,547,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 1 – August 28,Monthly,3.6,2.1 - 6.2,848,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,May 30 – June 26,Monthly,3.7,2.4 - 5.7,1184,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,April 22 – May 29,Monthly,7.1,4.9 - 10.1,911,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,March 27 – April 30 ,Monthly,1.4,0.6 - 2.1,947,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 2 – January 29,Monthly,1.4,0.6 - 2.1,2062,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,February 27 – March 26 ,Monthly,1.6,0.8 - 2.3,1464,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,May 30 – June 26,Monthly,10.3,8.1 - 13.0,1670,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 1 – August 28,Monthly,10.5,8.0 - 13.7,1359,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 30 – February 26,Monthly,2.6,1.2 - 3.9,1242,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,November 28 – December 31,Monthly,4.7,2.4 - 6.9,1734,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,October 31 – November 27,Monthly,6.2,3.6 - 8.8,707,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 29 – September 25,Monthly,7.2,5.3 - 9.6,2255,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,September 26 – October 30,Monthly,8.6,6.1 - 11.1,1848,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,June 27 – July 31,Monthly,9.7,7.8 - 12.0,2473,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,April 22 – May 29,Monthly,9.7,7.7 - 12.2,1942,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 30 – February 26,Monthly,0.9,0.1 - 1.6,1242,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,March 27 – April 30 ,Monthly,1.2,0.4 - 2.0,947,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,February 27 – March 26 ,Monthly,1.5,0.6 - 2.4,1464,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,June 27 – July 31,Monthly,12.2,10.0 - 14.9,2473,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,May 30 – June 26,Monthly,13.4,10.8 - 16.4,1670,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,April 22 – May 29,Monthly,14,11.6 - 16.8,1942,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 2 – January 29,Monthly,2.6,1.5 - 3.6,2062,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,October 31 – November 27,Monthly,3.4,1.4 - 5.4,707,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,November 28 – December 31,Monthly,4.3,2.2 - 6.5,1734,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,September 26 – October 30,Monthly,4.6,2.8 - 6.3,1848,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 1 – August 28,Monthly,9.8,7.3 - 12.9,1359,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 29 – September 25,Monthly,9.9,7.7 - 12.7,2255,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),April 22 – May 29,Monthly,67,63.7 - 70.1,1942,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),May 30 – June 26,Monthly,71.2,67.6 - 74.5,1670,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),June 27 – July 31,Monthly,73.8,70.7 - 76.7,2473,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 1 – August 28,Monthly,76.9,73.0 - 80.3,1359,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 29 – September 25,Monthly,80.5,77.3 - 83.5,2255,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),September 26 – October 30,Monthly,84.5,81.4 - 87.6,1848,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),November 28 – December 31,Monthly,89.1,85.9 - 92.4,1734,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),October 31 – November 27,Monthly,89.5,86.2 - 92.9,707,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 2 – January 29,Monthly,95.6,94.2 - 96.9,2062,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 30 – February 26,Monthly,96.4,94.8 - 98.0,1242,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),February 27 – March 26 ,Monthly,96.7,95.6 - 97.9,1464,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),March 27 – April 30 ,Monthly,97.1,96.0 - 98.3,947,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 30 – February 26,Monthly,0.2,0.0 - 0.5,1242,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,February 27 – March 26 ,Monthly,0.2,0.0 - 0.5,1464,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,March 27 – April 30 ,Monthly,0.3,0.0 - 0.7,947,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 2 – January 29,Monthly,0.5,0.1 - 1.0,2062,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,October 31 – November 27,Monthly,0.8,0.0 - 2.0,707,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,November 28 – December 31,Monthly,1.9,0.4 - 3.4,1734,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 29 – September 25,Monthly,2.3,1.5 - 3.7,2255,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,September 26 – October 30,Monthly,2.4,1.0 - 3.8,1848,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 1 – August 28,Monthly,2.9,1.8 - 4.6,1359,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,June 27 – July 31,Monthly,4.2,3.1 - 5.9,2473,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,May 30 – June 26,Monthly,5.1,3.6 - 7.2,1670,0
Jurisdictional Estimates,District of Columbia,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,April 22 – May 29,Monthly,9.3,7.3 - 11.7,1942,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,November 28 – December 31,Monthly,10.1,7.6 - 12.6,1219,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,October 31 – November 27,Monthly,10.7,6.8 - 14.6,419,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 29 – September 25,Monthly,11,8.9 - 13.6,1397,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,September 26 – October 30,Monthly,12.3,9.7 - 14.9,1246,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 1 – August 28,Monthly,13.1,10.5 - 16.2,1060,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,April 22 – May 29,Monthly,14.9,12.7 - 17.5,1470,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,June 27 – July 31,Monthly,15.3,12.5 - 18.5,1108,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,May 30 – June 26,Monthly,16.7,12.8 - 21.5,587,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,March 27 – April 30 ,Monthly,6,4.4 - 7.7,1348,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 2 – January 29,Monthly,6.9,4.7 - 9.1,881,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,February 27 – March 26 ,Monthly,7,4.8 - 9.1,1012,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 30 – February 26,Monthly,7,4.7 - 9.2,1067,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,May 30 – June 26,Monthly,10.8,7.7 - 14.9,587,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,April 22 – May 29,Monthly,13.2,11.0 - 15.7,1470,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 30 – February 26,Monthly,2,0.7 - 3.3,1067,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,February 27 – March 26 ,Monthly,2.1,0.9 - 3.4,1012,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,March 27 – April 30 ,Monthly,2.2,1.1 - 3.4,1348,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 2 – January 29,Monthly,3.3,1.8 - 4.9,881,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,October 31 – November 27,Monthly,4.7,1.8 - 7.6,419,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,September 26 – October 30,Monthly,5.4,3.6 - 7.3,1246,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,November 28 – December 31,Monthly,6,4.0 - 8.0,1219,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 29 – September 25,Monthly,8.7,6.8 - 11.0,1397,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 1 – August 28,Monthly,9.2,7.0 - 11.9,1060,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,June 27 – July 31,Monthly,9.9,7.7 - 12.7,1108,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),April 22 – May 29,Monthly,64.1,61.0 - 67.1,1470,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),May 30 – June 26,Monthly,69.5,64.2 - 74.3,587,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),June 27 – July 31,Monthly,71.6,67.8 - 75.0,1108,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 1 – August 28,Monthly,74.5,70.9 - 77.9,1060,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 29 – September 25,Monthly,77.8,74.6 - 80.7,1397,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),September 26 – October 30,Monthly,80.6,77.5 - 83.6,1246,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),October 31 – November 27,Monthly,82.7,78.0 - 87.5,419,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),November 28 – December 31,Monthly,82.8,79.7 - 85.8,1219,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 2 – January 29,Monthly,88.7,86.0 - 91.4,881,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 30 – February 26,Monthly,90.3,87.7 - 92.9,1067,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),February 27 – March 26 ,Monthly,90.8,88.4 - 93.3,1012,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),March 27 – April 30 ,Monthly,91.3,89.3 - 93.4,1348,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,February 27 – March 26 ,Monthly,0.1,0.0 - 0.2,1012,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,March 27 – April 30 ,Monthly,0.4,0.0 - 0.9,1348,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 30 – February 26,Monthly,0.7,0.1 - 1.3,1067,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,November 28 – December 31,Monthly,1.1,0.4 - 1.9,1219,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 2 – January 29,Monthly,1.1,0.2 - 2.0,881,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,September 26 – October 30,Monthly,1.7,0.7 - 2.7,1246,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,October 31 – November 27,Monthly,1.9,0.4 - 3.3,419,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 29 – September 25,Monthly,2.5,1.5 - 4.1,1397,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,May 30 – June 26,Monthly,3.1,1.6 - 5.7,587,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 1 – August 28,Monthly,3.2,2.0 - 5.1,1060,0
Jurisdictional Estimates,Delaware,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,June 27 – July 31,Monthly,3.2,2.0 - 5.2,1108,0
